Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;;;;;;
UV 1_280;;Conc B;;Injection;;Run Log;;Fraction;;UV 1_280_CUT_TEMP@100,BASEM;;Cond;;;;;;;
ml;mAU;ml;%;ml;Injection;ml;Logbook;ml;Fraction;ml;mAU;ml;mS/cm;;;;;;
-22.490679;7.732057;-11.642566;0;;;;;;;2.711653;0.209458;-22.490679;0.228592;;;;;;
-22.478626;7.68981;-11.5823;0;;;;;;;2.723705;0.210384;-22.478626;0.235164;;;;;;
-22.466576;7.648212;-11.522035;0;;;;;;;2.735756;0.21131;-22.466576;0.241951;;;;;;
-22.454523;7.604666;-11.461769;0;;;;;;;2.747808;0.212236;-22.454523;0.24893;;;;;;
-22.442471;7.561615;-11.401503;0;;;;;;;2.759861;0.213161;-22.442471;0.256122;;;;;;
-22.43042;7.519505;-11.341237;0;;;;;;;2.771912;0.214087;-22.43042;0.263452;;;;;;
-22.418367;7.476092;-11.280972;0;;;;;;;2.783964;0.214556;-22.418367;0.270986;;;;;;
-22.406317;7.43181;-11.220706;0;;;;;;;2.796015;0.215025;-22.406317;0.278754;;;;;;
-22.394264;7.38966;-11.16044;0;;;;;;;2.808067;0.215494;-22.394264;0.286715;;;;;;
-22.382212;7.347321;-11.100175;0;;;;;;;2.82012;0.215963;-22.382212;0.2949;;;;;;
-22.370161;7.304457;-11.039909;0;;;;;;;2.83217;0.216433;-22.370161;0.303263;;;;;;
-22.358109;7.260209;-10.979644;0;;;;;;;2.844223;0.216902;-22.358109;0.311877;;;;;;
-22.346058;7.215085;-10.919378;0;;;;;;;2.856274;0.217371;-22.346058;0.320652;;;;;;
-22.334005;7.172561;-10.859113;0;;;;;;;2.868326;0.21784;-22.334005;0.329579;;;;;;
-22.321953;7.131328;-10.798847;0;;;;;;;2.880379;0.218309;-22.321953;0.33865;;;;;;
